octave,tone,time
3,c,1
3,d,1
3,e,1
3,f,1
3,c,1
3,d,1
3,e,1
3,f,0.5
3,c,0.5
3,f,0.5
3,e,0.5
3,d,0.5
3,c,0.5
3,f,0.5
3,e,0.5
3,r,0.5
3,r,0.5
3,c,1
3,d,1
3,e,1
3,f,0.5
3,c,0.5
